区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,兴化西里 ,3室1厅,78.95,720,91197,房本满五年,南北,简装,无,中楼层(共4层)1976年建板楼,,-
,,,,,,,,,,,,
东城,冠城名敦道 ,1室1厅,60.99,520,85260,房本满五年,南,精装,有电梯,中楼层(共23层)2009年建塔楼,,-
,,,,,,,,,,,,
东城,灯市口西街 ,3室1厅,83.77,920,109825,房本满五年,南北,精装,无电梯,中楼层(共6层)1989年建板楼,,-
,,,,,,,,,,,,
东城,东花市北里中区 ,2室1厅,106.8,960,89888,房本满五年,南北,简装,无,中楼层(共6层)1996年建板楼,,-
,,,,,,,,,,,,
东城,东皇城根南街86号院 ,4室2厅,138.74,1500,108116,房本满五年,南北,精装,无电梯,顶层(共5层)1988年建板楼,,-
,,,,,,,,,,,,
东城,东花市北里中区 ,4室3厅,184.3,1350,73251,房本满五年,东南北,简装,无电梯,顶层(共5层)1994年建板楼,,-
,,,,,,,,,,,,
东城,安外花园 ,3室1厅,74.88,699,93350,房本满五年,南北,精装,无电梯,中楼层(共5层)1980年建板楼,,-
,,,,,,,,,,,,
东城,西青年沟 ,2室1厅,54.26,485,89385,房本满五年,南北,简装,无电梯,顶层(共6层)1987年建板楼,,-
,,,,,,,,,,,,
东城,化工大院 ,3室1厅,95.41,980,102715,房本满五年,南北,精装,无,低楼层(共7层)1998年建板楼,,-
,,,,,,,,,,,,
东城,官书院 ,6室2厅,231.24,1850,80004,房本满五年,南北,精装,无电梯,底层(共6层)2000年建板楼,,-
,,,,,,,,,,,,
东城,新景家园东区 ,1室1厅,58.97,550,93268,房本满五年,西,其他,无,低楼层(共16层)2004年建板塔结合,,-
,,,,,,,,,,,,
东城,交道口北三条 ,2室1厅,56.15,630,112200,房本满五年,南北,其他,无,顶层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,光明西里 ,2室0厅,50.36,478,94917,房本满五年,东,简装,无电梯,顶层(共5层)1979年建板楼,,-
,,,,,,,,,,,,
东城,绿景馨园 ,2室1厅,79.1,720,91025,房本满五年,南北,简装,无电梯,底层(共6层)2004年建板楼,,-
,,,,,,,,,,,,
东城,新景家园东区 ,1室1厅,59.28,650,109650,房本满五年,南,精装,有电梯,底层(共18层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,国瑞城东区 ,2室1厅,75.45,680,90126,,西北,精装,无,高楼层(共16层)2006年建板塔结合,,-
,,,,,,,,,,,,
东城,广渠门内大街 ,2室1厅,53.18,505,94961,,南北,简装,有电梯,中楼层(共12层)1980年建板塔结合,,-
,,,,,,,,,,,,
东城,安贞苑50号院 ,2室1厅,88.95,860,96684,,南北,精装,无电梯,中楼层(共6层)2000年建板楼,,-
,,,,,,,,,,,,
东城,东花市北里中区 ,2室1厅,67.13,520,77462,,西,简装,无电梯,高楼层(共6层)1994年建塔楼,,-
,,,,,,,,,,,,
东城,国瑞城中区 ,3室1厅,69.47,690,99324,房本满五年,东,精装,无,高楼层(共16层)2006年建板塔结合,,-
,,,,,,,,,,,,
东城,安化南里 ,2室1厅,62.99,565,89697,房本满五年,东南北,精装,无,高楼层(共6层)1985年建板楼,,-
,,,,,,,,,,,,
东城,望陶园小区 ,2室1厅,104.97,730,69544,房本满五年,东南,简装,有电梯,顶层(共18层)1999年建塔楼,,-
,,,,,,,,,,,,
东城,和平里一区 ,2室1厅,56.13,590,105114,房本满五年,南北,精装,无电梯,中楼层(共5层)1990年建板楼,,-
,,,,,,,,,,,,
东城,景泰东里 ,1室1厅,51.73,390,75392,房本满五年,南,简装,无,中楼层(共6层)1994年建板楼,,-
,,,,,,,,,,,,
东城,朝阳门南小街 ,3室2厅,112.34,1180,105039,房本满五年,东西,精装,无,顶层(共9层)2003年建板楼,,-
,,,,,,,,,,,,
东城,青年湖南街 ,2室1厅,69.32,660,95211,房本满五年,东西,简装,无,顶层(共10层)1992年建板塔结合,,-
,,,,,,,,,,,,
东城,菊儿胡同 ,2室1厅,64.38,780,121156,房本满五年,南北,简装,无,低楼层(共3层)1991年建板楼,,-
,,,,,,,,,,,,
东城,后芳嘉园胡同 ,1室1厅,50.42,630,124951,房本满五年,南,精装,无电梯,低楼层(共6层)2002年建板楼,,-
,,,,,,,,,,,,
东城,金鱼池西区 ,4室2厅,112.99,880,77883,房本满五年,南北,精装,无,顶层(共6层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,天天家园 ,2室1厅,106.6,745,69888,房本满五年,东,简装,无,中楼层(共11层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,地兴居 ,2室1厅,55.52,525,94561,房本满五年,南,简装,无,中楼层(共6层)1970年建板楼,,-
,,,,,,,,,,,,
东城,华府景园 ,2室2厅,102.87,1050,102071,房本满五年,西,精装,无,中楼层(共16层)2001年建塔楼,,-
,,,,,,,,,,,,
东城,花市枣苑二期 ,1室1厅,72.74,730,100358,房本满五年,西,简装,有电梯,低楼层(共17层)2004年建塔楼,,-
,,,,,,,,,,,,
东城,金鱼池中区 ,3室1厅,77.19,610,79026,房本满五年,东西,毛坯,无,中楼层(共6层)1987年建板楼,,-
,,,,,,,,,,,,
东城,万国城MOMA ,2室2厅,127.31,1350,106041,房本满五年,西北,精装,有电梯,高楼层(共25层)2002年建塔楼,,-
,,,,,,,,,,,,
东城,青年湖北里 ,2室1厅,98.71,980,99281,房本满五年,南北,精装,有电梯,中楼层(共10层)1997年建板塔结合,,-
,,,,,,,,,,,,
东城,天坛东里南区 ,2室1厅,47.17,400,84800,房本满五年,南,简装,有电梯,中楼层(共11层)1970年建板塔结合,,-
,,,,,,,,,,,,
东城,冠城名敦道 ,1室1厅,60.99,520,85260,房本满五年,南,精装,有电梯,中楼层(共23层)2009年建塔楼,,-
,,,,,,,,,,,,
东城,新景家园东区 ,2室1厅,115.68,1195,103303,房本满五年,南,精装,无,低楼层(共15层)2008年建板塔结合,,-
,,,,,,,,,,,,
东城,竹杆胡同 ,2室1厅,68.05,780,114622,房本满五年,西南,精装,有电梯,顶层(共8层)2003年建板楼,,-
,,,,,,,,,,,,
东城,巷上嘉园 ,2室1厅,89.63,800,89256,房本满五年,东南北,精装,无,中楼层(共12层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,广渠家园 ,2室1厅,63.75,590,92550,房本满五年,东西,简装,无,中楼层(共18层)2009年建板楼,,-
,,,,,,,,,,,,
东城,水上华城 ,2室1厅,117.01,1150,98283,房本满五年,东西,精装,有电梯,中楼层(共20层)2004年建板塔结合,,-
,,,,,,,,,,,,
东城,丽水湾畔家园 ,3室2厅,139.91,1120,80052,房本满五年,南北,精装,无,低楼层(共21层)2002年建塔楼,,-
,,,,,,,,,,,,
东城,广渠家园 ,3室1厅,81.48,700,85911,,东南西,简装,有电梯,中楼层(共18层)2009年建板楼,,-
,,,,,,,,,,,,
东城,崇文门东大街 ,2室1厅,59.97,560,93381,,南北,其他,有电梯,中楼层(共14层)1980年建板楼,,-
,,,,,,,,,,,,
东城,地坛北里 ,2室1厅,84.33,795,94273,,东西,简装,有电梯,顶层(共13层)1999年建板塔结合,,-
,,,,,,,,,,,,
东城,东中街 ,2室1厅,72.16,790,109479,,南北,精装,无电梯,低楼层(共6层)1995年建板楼,,-
,,,,,,,,,,,,
东城,朝阳门南小街 ,2室1厅,74.98,880,117365,,南北,精装,有电梯,低楼层(共11层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,幸福家园二期 ,3室3厅,123.87,1360,109793,房本满五年,南北,其他,有电梯,中楼层(共14层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,金鱼池中区 ,3室2厅,135.03,1100,81464,房本满五年,南北,精装,无,顶层(共4层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,东花市北里西区 ,4室2厅,234.59,2150,91650,房本满五年,南北,简装,无,底层(共10层)1995年建板楼,,-
,,,,,,,,,,,,
东城,北京上舍 ,4室2厅,202.45,2020,99778,房本满五年,南北,精装,有电梯,中楼层(共14层)2008年建板楼,,-
,,,,,,,,,,,,
东城,安外花园 ,2室1厅,57.97,560,96602,房本满五年,南北,精装,无电梯,中楼层(共5层)1986年建板楼,,-
,,,,,,,,,,,,
